Palabra,FrecPos,FrecNeg,LogPos,LogNeg,LogP(POS),LogP(NEG)
moving,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
car,11,6,-5.2266423298411455,-5.771886061958268,-0.677711372430106,-0.7088249932791751
at,8,14,-5.514324402292926,-5.009746009911372,-0.677711372430106,-0.7088249932791751
freeway,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
speed,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
unfortunately,0,4,-7.711548979629146,-6.108358298579481,-0.677711372430106,-0.7088249932791751
not,13,89,-5.0724916500138875,-3.2179865406833166,-0.677711372430106,-0.7088249932791751
work,7,20,-5.63210743794931,-4.673273773290159,-0.677711372430106,-0.7088249932791751
treo,2,2,-6.612936690961036,-6.619183922345472,-0.677711372430106,-0.7088249932791751
tmobile,2,2,-6.612936690961036,-6.619183922345472,-0.677711372430106,-0.7088249932791751
refused,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
replace,2,2,-6.612936690961036,-6.619183922345472,-0.677711372430106,-0.7088249932791751
forced,0,2,-7.711548979629146,-6.619183922345472,-0.677711372430106,-0.7088249932791751
me,7,19,-5.63210743794931,-4.72206393745959,-0.677711372430106,-0.7088249932791751
buy,4,14,-6.102111067195046,-5.009746009911372,-0.677711372430106,-0.7088249932791751
another,2,2,-6.612936690961036,-6.619183922345472,-0.677711372430106,-0.7088249932791751
any,15,5,-4.938960257389365,-5.926036741785527,-0.677711372430106,-0.7088249932791751
kind,1,4,-7.018401799069201,-6.108358298579481,-0.677711372430106,-0.7088249932791751
of,45,65,-3.882907583140051,-3.528141468987156,-0.677711372430106,-0.7088249932791751
upgrade,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
discount,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
talk,1,7,-7.018401799069201,-5.638354669333745,-0.677711372430106,-0.7088249932791751
about,6,10,-5.765638830573833,-5.319900938215211,-0.677711372430106,-0.7088249932791751
useless,0,6,-7.711548979629146,-5.771886061958268,-0.677711372430106,-0.7088249932791751
customer,1,8,-7.018401799069201,-5.5205716336773625,-0.677711372430106,-0.7088249932791751
ring,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
toneoverall,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
good,56,11,-3.6684977117945956,-5.232889561225582,-0.677711372430106,-0.7088249932791751
happy,13,1,-5.0724916500138875,-7.024649030453636,-0.677711372430106,-0.7088249932791751
so,22,16,-4.576054763699997,-4.884582866957365,-0.677711372430106,-0.7088249932791751
far,9,2,-5.4089638866351,-6.619183922345472,-0.677711372430106,-0.7088249932791751
especially,4,1,-6.102111067195046,-7.024649030453636,-0.677711372430106,-0.7088249932791751
love,18,0,-4.767110000462706,-7.717796211013582,-0.677711372430106,-0.7088249932791751
long,5,5,-5.919789510401091,-5.926036741785527,-0.677711372430106,-0.7088249932791751
battery,20,23,-4.667026541905723,-4.539742380665636,-0.677711372430106,-0.7088249932791751
life,5,5,-5.919789510401091,-5.926036741785527,-0.677711372430106,-0.7088249932791751
as,17,25,-4.821177221732981,-4.4596996729921,-0.677711372430106,-0.7088249932791751
many,3,2,-6.3252546185092555,-6.619183922345472,-0.677711372430106,-0.7088249932791751
people,6,4,-5.765638830573833,-6.108358298579481,-0.677711372430106,-0.7088249932791751
complained,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
found,5,2,-5.919789510401091,-6.619183922345472,-0.677711372430106,-0.7088249932791751
headsets,3,4,-6.3252546185092555,-6.108358298579481,-0.677711372430106,-0.7088249932791751
microphone,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
was,32,49,-4.215041418162666,-3.8057732055854356,-0.677711372430106,-0.7088249932791751
very,60,30,-3.600675115455835,-4.283809006528435,-0.677711372430106,-0.7088249932791751
weak,0,4,-7.711548979629146,-6.108358298579481,-0.677711372430106,-0.7088249932791751
highly,8,1,-5.514324402292926,-7.024649030453636,-0.677711372430106,-0.7088249932791751
recommend,18,5,-4.767110000462706,-5.926036741785527,-0.677711372430106,-0.7088249932791751
device,9,2,-5.4089638866351,-6.619183922345472,-0.677711372430106,-0.7088249932791751
everyone,2,1,-6.612936690961036,-7.024649030453636,-0.677711372430106,-0.7088249932791751
would,16,15,-4.87833563557293,-4.945207488773801,-0.677711372430106,-0.7088249932791751
thing,3,9,-6.3252546185092555,-5.415211118019536,-0.677711372430106,-0.7088249932791751
none,0,5,-7.711548979629146,-5.926036741785527,-0.677711372430106,-0.7088249932791751
new,12,7,-5.146599622167609,-5.638354669333745,-0.677711372430106,-0.7088249932791751
ones,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
ever,6,11,-5.765638830573833,-5.232889561225582,-0.677711372430106,-0.7088249932791751
quite,3,3,-6.3252546185092555,-6.331501849893691,-0.677711372430106,-0.7088249932791751
worked,8,10,-5.514324402292926,-5.319900938215211,-0.677711372430106,-0.7088249932791751
properly,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
but,20,21,-4.667026541905723,-4.6267537576552655,-0.677711372430106,-0.7088249932791751
really,15,8,-4.938960257389365,-5.5205716336773625,-0.677711372430106,-0.7088249932791751
replacement,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
died,0,2,-7.711548979629146,-6.619183922345472,-0.677711372430106,-0.7088249932791751
few,4,7,-6.102111067195046,-5.638354669333745,-0.677711372430106,-0.7088249932791751
weeks,2,3,-6.612936690961036,-6.331501849893691,-0.677711372430106,-0.7088249932791751
loudglad,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
say,4,2,-6.102111067195046,-6.619183922345472,-0.677711372430106,-0.7088249932791751
plantronics,2,1,-6.612936690961036,-7.024649030453636,-0.677711372430106,-0.7088249932791751
510,2,1,-6.612936690961036,-7.024649030453636,-0.677711372430106,-0.7088249932791751
maintains,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
flawless,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
connection,1,3,-7.018401799069201,-6.331501849893691,-0.677711372430106,-0.7088249932791751
cell,9,1,-5.4089638866351,-7.024649030453636,-0.677711372430106,-0.7088249932791751
no,12,14,-5.146599622167609,-5.009746009911372,-0.677711372430106,-0.7088249932791751
static,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
during,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
normal,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
use,17,20,-4.821177221732981,-4.673273773290159,-0.677711372430106,-0.7088249932791751
hoping,0,2,-7.711548979629146,-6.619183922345472,-0.677711372430106,-0.7088249932791751
more,8,9,-5.514324402292926,-5.415211118019536,-0.677711372430106,-0.7088249932791751
amazed,2,0,-6.612936690961036,-7.717796211013582,-0.677711372430106,-0.7088249932791751
quick,2,0,-6.612936690961036,-7.717796211013582,-0.677711372430106,-0.7088249932791751
arrival,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
two,6,8,-5.765638830573833,-5.5205716336773625,-0.677711372430106,-0.7088249932791751
original,4,1,-6.102111067195046,-7.024649030453636,-0.677711372430106,-0.7088249932791751
lg,2,2,-6.612936690961036,-6.619183922345472,-0.677711372430106,-0.7088249932791751
batteries,2,0,-6.612936690961036,-7.717796211013582,-0.677711372430106,-0.7088249932791751
fraction,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
never,2,6,-6.612936690961036,-5.771886061958268,-0.677711372430106,-0.7088249932791751
bought,8,8,-5.514324402292926,-5.5205716336773625,-0.677711372430106,-0.7088249932791751
startac,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
regretted,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
since,3,4,-6.3252546185092555,-6.108358298579481,-0.677711372430106,-0.7088249932791751
dont,5,26,-5.919789510401091,-4.4219593450092525,-0.677711372430106,-0.7088249932791751
waste,0,13,-7.711548979629146,-5.078738881398323,-0.677711372430106,-0.7088249932791751
your,11,17,-5.2266423298411455,-4.827424453117417,-0.677711372430106,-0.7088249932791751
money,1,17,-7.018401799069201,-4.827424453117417,-0.677711372430106,-0.7088249932791751
update,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
procedure,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
difficult,0,6,-7.711548979629146,-5.771886061958268,-0.677711372430106,-0.7088249932791751
cumbersome,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
fixes,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
all,19,20,-4.715816706075155,-4.673273773290159,-0.677711372430106,-0.7088249932791751
jiggle,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
plug,2,7,-6.612936690961036,-5.638354669333745,-0.677711372430106,-0.7088249932791751
get,8,14,-5.514324402292926,-5.009746009911372,-0.677711372430106,-0.7088249932791751
line,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
up,9,13,-5.4089638866351,-5.078738881398323,-0.677711372430106,-0.7088249932791751
right,5,7,-5.919789510401091,-5.638354669333745,-0.677711372430106,-0.7088249932791751
decent,3,1,-6.3252546185092555,-7.024649030453636,-0.677711372430106,-0.7088249932791751
volume,4,7,-6.102111067195046,-5.638354669333745,-0.677711372430106,-0.7088249932791751
much,7,5,-5.63210743794931,-5.926036741785527,-0.677711372430106,-0.7088249932791751
less,3,3,-6.3252546185092555,-6.331501849893691,-0.677711372430106,-0.7088249932791751
than,18,7,-4.767110000462706,-5.638354669333745,-0.677711372430106,-0.7088249932791751
jawbone,3,0,-6.3252546185092555,-7.717796211013582,-0.677711372430106,-0.7088249932791751
going,2,2,-6.612936690961036,-6.619183922345472,-0.677711372430106,-0.7088249932791751
give,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
wirefly,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
1,0,4,-7.711548979629146,-6.108358298579481,-0.677711372430106,-0.7088249932791751
stari,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
will,2,12,-6.612936690961036,-5.152846853552045,-0.677711372430106,-0.7088249932791751
contact,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
cingularatt,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
inform,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
them,5,6,-5.919789510401091,-5.771886061958268,-0.677711372430106,-0.7088249932791751
practice,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
software,2,4,-6.612936690961036,-6.108358298579481,-0.677711372430106,-0.7088249932791751
motorolas,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
works,41,1,-3.973879361345778,-7.024649030453636,-0.677711372430106,-0.7088249932791751
cant,1,5,-7.018401799069201,-5.926036741785527,-0.677711372430106,-0.7088249932791751
computer,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
well,24,5,-4.492673154760945,-5.926036741785527,-0.677711372430106,-0.7088249932791751
deal,3,1,-6.3252546185092555,-7.024649030453636,-0.677711372430106,-0.7088249932791751
reception,8,6,-5.514324402292926,-5.771886061958268,-0.677711372430106,-0.7088249932791751
terrible,0,10,-7.711548979629146,-5.319900938215211,-0.677711372430106,-0.7088249932791751
full,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
delivery,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
time,11,16,-5.2266423298411455,-4.884582866957365,-0.677711372430106,-0.7088249932791751
excellent,22,1,-4.576054763699997,-7.024649030453636,-0.677711372430106,-0.7088249932791751
hands,4,1,-6.102111067195046,-7.024649030453636,-0.677711372430106,-0.7088249932791751
free,3,0,-6.3252546185092555,-7.717796211013582,-0.677711372430106,-0.7088249932791751
tool,3,1,-6.3252546185092555,-7.024649030453636,-0.677711372430106,-0.7088249932791751
however,1,7,-7.018401799069201,-5.638354669333745,-0.677711372430106,-0.7088249932791751
ear,12,18,-5.146599622167609,-4.773357231847141,-0.677711372430106,-0.7088249932791751
pads,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
come,0,2,-7.711548979629146,-6.619183922345472,-0.677711372430106,-0.7088249932791751
easily,0,5,-7.711548979629146,-5.926036741785527,-0.677711372430106,-0.7088249932791751
after,6,19,-5.765638830573833,-4.72206393745959,-0.677711372430106,-0.7088249932791751
only,3,17,-6.3252546185092555,-4.827424453117417,-0.677711372430106,-0.7088249932791751
one,19,17,-4.715816706075155,-4.827424453117417,-0.677711372430106,-0.7088249932791751
week,0,4,-7.711548979629146,-6.108358298579481,-0.677711372430106,-0.7088249932791751
lost,0,2,-7.711548979629146,-6.619183922345472,-0.677711372430106,-0.7088249932791751
lasting,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
recharge,0,2,-7.711548979629146,-6.619183922345472,-0.677711372430106,-0.7088249932791751
frequentyly,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
some,2,5,-6.612936690961036,-5.926036741785527,-0.677711372430106,-0.7088249932791751
flip,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
phones2,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
quality,27,16,-4.379344469453942,-4.884582866957365,-0.677711372430106,-0.7088249932791751
disapointing,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
results,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
cable,2,3,-6.612936690961036,-6.331501849893691,-0.677711372430106,-0.7088249932791751
allows,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
connect,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
miniusb,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
pc,3,0,-6.3252546185092555,-7.717796211013582,-0.677711372430106,-0.7088249932791751
item,9,7,-5.4089638866351,-5.638354669333745,-0.677711372430106,-0.7088249932791751
eargels,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
channel,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
sound,24,13,-4.492673154760945,-5.078738881398323,-0.677711372430106,-0.7088249932791751
directly,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
into,3,5,-6.3252546185092555,-5.926036741785527,-0.677711372430106,-0.7088249932791751
seem,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
increase,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
clarity,4,1,-6.102111067195046,-7.024649030453636,-0.677711372430106,-0.7088249932791751
different,1,3,-7.018401799069201,-6.331501849893691,-0.677711372430106,-0.7088249932791751
portable,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
comfortable,12,3,-5.146599622167609,-6.331501849893691,-0.677711372430106,-0.7088249932791751
wear,6,1,-5.765638830573833,-7.024649030453636,-0.677711372430106,-0.7088249932791751
probably,2,1,-6.612936690961036,-7.024649030453636,-0.677711372430106,-0.7088249932791751
most,4,3,-6.102111067195046,-6.331501849893691,-0.677711372430106,-0.7088249932791751
important,2,3,-6.612936690961036,-6.331501849893691,-0.677711372430106,-0.7088249932791751
aspect,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
using,6,5,-5.765638830573833,-5.926036741785527,-0.677711372430106,-0.7088249932791751
am,11,6,-5.2266423298411455,-5.771886061958268,-0.677711372430106,-0.7088249932791751
product,29,18,-4.31035159796699,-4.773357231847141,-0.677711372430106,-0.7088249932791751
by,1,7,-7.018401799069201,-5.638354669333745,-0.677711372430106,-0.7088249932791751
worst,0,13,-7.711548979629146,-5.078738881398323,-0.677711372430106,-0.7088249932791751
purchase,7,6,-5.63210743794931,-5.771886061958268,-0.677711372430106,-0.7088249932791751
amazon,5,4,-5.919789510401091,-6.108358298579481,-0.677711372430106,-0.7088249932791751
disappointing,0,3,-7.711548979629146,-6.331501849893691,-0.677711372430106,-0.7088249932791751
accessory,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
manufacturer,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
does,6,17,-5.765638830573833,-4.827424453117417,-0.677711372430106,-0.7088249932791751
match,0,3,-7.711548979629146,-6.331501849893691,-0.677711372430106,-0.7088249932791751
picture,1,4,-7.018401799069201,-6.108358298579481,-0.677711372430106,-0.7088249932791751
beat,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
these,12,7,-5.146599622167609,-5.638354669333745,-0.677711372430106,-0.7088249932791751
could,2,12,-6.612936690961036,-5.152846853552045,-0.677711372430106,-0.7088249932791751
make,3,8,-6.3252546185092555,-5.5205716336773625,-0.677711372430106,-0.7088249932791751
bluetooth,9,5,-5.4089638866351,-5.926036741785527,-0.677711372430106,-0.7088249932791751
headset,27,15,-4.379344469453942,-4.945207488773801,-0.677711372430106,-0.7088249932791751
fit,5,6,-5.919789510401091,-5.771886061958268,-0.677711372430106,-0.7088249932791751
better,10,7,-5.313653706830776,-5.638354669333745,-0.677711372430106,-0.7088249932791751
things,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
impossible,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
if,5,21,-5.919789510401091,-4.6267537576552655,-0.677711372430106,-0.7088249932791751
hate,0,4,-7.711548979629146,-6.108358298579481,-0.677711372430106,-0.7088249932791751
earbugs,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
avoid,1,2,-7.018401799069201,-6.619183922345472,-0.677711372430106,-0.7088249932791751
means,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
gets,4,2,-6.102111067195046,-6.619183922345472,-0.677711372430106,-0.7088249932791751
hot,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
doesnt,2,12,-6.612936690961036,-5.152846853552045,-0.677711372430106,-0.7088249932791751
hold,1,3,-7.018401799069201,-6.331501849893691,-0.677711372430106,-0.7088249932791751
charge,3,10,-6.3252546185092555,-5.319900938215211,-0.677711372430106,-0.7088249932791751
fine,9,1,-5.4089638866351,-7.024649030453636,-0.677711372430106,-0.7088249932791751
680,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
infuriating,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
holds,3,1,-6.3252546185092555,-7.024649030453636,-0.677711372430106,-0.7088249932791751
like,17,12,-4.821177221732981,-5.152846853552045,-0.677711372430106,-0.7088249932791751
when,7,11,-5.63210743794931,-5.232889561225582,-0.677711372430106,-0.7088249932791751
there,5,9,-5.919789510401091,-5.415211118019536,-0.677711372430106,-0.7088249932791751
speakerphone,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
installed,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
let,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
charged,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
overnite,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
has,20,9,-4.667026541905723,-5.415211118019536,-0.677711372430106,-0.7088249932791751
working,7,2,-5.63210743794931,-6.619183922345472,-0.677711372430106,-0.7088249932791751
every,3,3,-6.3252546185092555,-6.331501849893691,-0.677711372430106,-0.7088249932791751
pleased,5,0,-5.919789510401091,-7.717796211013582,-0.677711372430106,-0.7088249932791751
bad,0,12,-7.711548979629146,-5.152846853552045,-0.677711372430106,-0.7088249932791751
before,2,3,-6.612936690961036,-6.331501849893691,-0.677711372430106,-0.7088249932791751
gave,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
5,1,6,-7.018401799069201,-5.771886061958268,-0.677711372430106,-0.7088249932791751
stars,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
because,8,8,-5.514324402292926,-5.5205716336773625,-0.677711372430106,-0.7088249932791751
piece,2,11,-6.612936690961036,-5.232889561225582,-0.677711372430106,-0.7088249932791751
trash,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
setup,2,0,-6.612936690961036,-7.717796211013582,-0.677711372430106,-0.7088249932791751
went,1,5,-7.018401799069201,-5.926036741785527,-0.677711372430106,-0.7088249932791751
smoothly,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
everyday,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
disappointed,0,10,-7.711548979629146,-5.319900938215211,-0.677711372430106,-0.7088249932791751
charger,6,8,-5.765638830573833,-5.5205716336773625,-0.677711372430106,-0.7088249932791751
three,2,3,-6.612936690961036,-6.331501849893691,-0.677711372430106,-0.7088249932791751
sizes,1,1,-7.018401799069201,-7.024649030453636,-0.677711372430106,-0.7088249932791751
sent,0,1,-7.711548979629146,-7.024649030453636,-0.677711372430106,-0.7088249932791751
stay,0,5,-7.711548979629146,-5.926036741785527,-0.677711372430106,-0.7088249932791751
ears,3,2,-6.3252546185092555,-6.619183922345472,-0.677711372430106,-0.7088249932791751
krussel,1,0,-7.018401799069201,-7.717796211013582,-0.677711372430106,-0.7088249932791751
cingular,0,2,-7.711548979629146,-6.619183922345472,-0.677711372430106,-0.7088249932791751
att,0,2,-7.711548979629146,-6.619183922345472,-0.677711372430106,-0.7088249932791751
